code,name,age,island,island_age
VO,Volcano,0.0003,Hawaii,0.4
LA,Laupahoehoe,0.005,Hawaii,0.4
KH,Kohala,0.15,Hawaii,0.4
MO,Puu Kolekole,1.4,Molakai,1.76
KA,Kauai,4.1,Kauai,5.1
